SP_ID,wbID,stroke_exp,pop,y,Townsend.class,NOx.class,Townsend,NOx
05CGFA24,687,3.761081556,1087.31,3,"(-2.07,0.086]","(41.4,53.6]",2,2
05CGFA25,688,4.561301587,1352.17,5,"[-6.54,-2.07]","(41.4,53.6]",1,2
05CGFA26,107,6.579259254,1762.42,4,"(0.086,3.11]","(41.4,53.6]",3,2
05CGFA27,693,2.742550738,1103.37,1,"[-6.54,-2.07]","[7.8,41.4]",1,1
05CGFA28,695,3.756467469,1192.45,1,"[-6.54,-2.07]","(41.4,53.6]",1,2
05CGFA29,360,3.433368817,1007.64,4,"(-2.07,0.086]","(41.4,53.6]",2,2
05CGFA30,886,2.895123925,1372.79,4,"[-6.54,-2.07]","(53.6,64.8]",1,3
05CGFA31,685,8.996857971,1530.43,1,"(3.11,5.44]","(53.6,64.8]",4,3
05CGFA32,530,3.387399888,1065.66,3,"[-6.54,-2.07]","(41.4,53.6]",1,2
05CGFA33,699,3.539841212,1076.52,0,"[-6.54,-2.07]","[7.8,41.4]",1,1
05CGFA34,700,2.132736271,885.19,3,"[-6.54,-2.07]","[7.8,41.4]",1,1
05CGFA35,703,3.519830883,1070.29,1,"[-6.54,-2.07]","[7.8,41.4]",1,1
05CGFA36,523,5.809177097,1097.96,2,"(-2.07,0.086]","[7.8,41.4]",2,1
05CGFA37,409,5.451914813,1461.01,3,"(0.086,3.11]","[7.8,41.4]",3,1
05CGFB01,43,2.06972481,709.38,3,"[-6.54,-2.07]","(41.4,53.6]",1,2
05CGFB02,901,3.024847707,880.06,0,"(-2.07,0.086]","(41.4,53.6]",2,2
05CGFB03,42,1.082211401,1060.55,0,"(5.44,9.2]","(41.4,53.6]",5,2
05CGFB04,121,2.692640944,947.03,4,"(5.44,9.2]","(53.6,64.8]",5,3
05CGFB05,904,2.34143402,627.55,0,"[-6.54,-2.07]","(53.6,64.8]",1,3
05CGFB06,406,2.037496072,1076.63,0,"(3.11,5.44]","(41.4,53.6]",4,2
05CGFB07,216,2.435107128,1027.11,1,"(3.11,5.44]","(41.4,53.6]",4,2
05CGFB08,891,1.843634253,1055.82,2,"(3.11,5.44]","(41.4,53.6]",4,2
05CGFB09,697,3.411378324,776.24,3,"(-2.07,0.086]","(41.4,53.6]",2,2
05CGFB10,405,2.521833972,721.08,3,"[-6.54,-2.07]","(41.4,53.6]",1,2
05CGFB11,122,1.693702595,715.92,1,"[-6.54,-2.07]","(41.4,53.6]",1,2
05CGFB12,213,2.824806139,1404.78,1,"(0.086,3.11]","(41.4,53.6]",3,2
05CGFB13,445,1.973635005,1028.35,3,"(0.086,3.11]","[7.8,41.4]",3,1
05CGFB14,432,4.126256364,1196.73,2,"(3.11,5.44]","(41.4,53.6]",4,2
05CGFB15,193,5.431024932,1393.34,5,"(0.086,3.11]","[7.8,41.4]",3,1
05CGFB16,194,3.538356486,915.94,2,"(-2.07,0.086]","[7.8,41.4]",2,1
05CGFB17,195,4.89895981,1518.71,9,"(3.11,5.44]","(41.4,53.6]",4,2
05CGFB18,716,4.37934688,1568.39,2,"(3.11,5.44]","(41.4,53.6]",4,2
05CGFB19,19,3.459946357,1540.14,4,"(3.11,5.44]","[7.8,41.4]",4,1
05CGFB20,198,7.366607726,1240.24,7,"(3.11,5.44]","[7.8,41.4]",4,1
05CGFB21,728,2.348163704,1037.13,2,"(-2.07,0.086]","(41.4,53.6]",2,2
05CGFB22,201,3.08113251,1309.76,2,"(3.11,5.44]","[7.8,41.4]",4,1
05CGFB23,207,3.138915142,1440.34,3,"(-2.07,0.086]","[7.8,41.4]",2,1
05CGFB24,384,2.913207954,1267.63,2,"(0.086,3.11]","[7.8,41.4]",3,1
05CGFB25,656,3.681543233,1301.21,2,"(0.086,3.11]","(41.4,53.6]",3,2
05CGFB26,239,4.943524165,1210.65,3,"(5.44,9.2]","(41.4,53.6]",5,2
05CGFB27,383,2.260948398,1096.29,1,"(3.11,5.44]","(41.4,53.6]",4,2
05CGFB28,670,2.996309049,1168.91,2,"[-6.54,-2.07]","(41.4,53.6]",1,2
05CGFB29,637,3.542126896,1215.4,3,"[-6.54,-2.07]","(64.8,82.1]",1,4
05CGFB30,390,4.90092261,1355.47,1,"(0.086,3.11]","(41.4,53.6]",3,2
05CGFB31,395,3.077215378,1333.6,5,"(3.11,5.44]","[7.8,41.4]",4,1
05CGFB32,381,0.93548615,935.6,2,"(3.11,5.44]","(41.4,53.6]",4,2
05CGFB33,628,2.667502792,1216.16,5,"(-2.07,0.086]","(41.4,53.6]",2,2
05CGFB34,694,2.357107493,1130.1,0,"[-6.54,-2.07]","[7.8,41.4]",1,1
05CGFB35,723,2.844324826,1292.53,2,"(0.086,3.11]","(41.4,53.6]",3,2
05CGFB36,619,2.04552703,1433.69,1,"[-6.54,-2.07]","[7.8,41.4]",1,1
05CGFB37,651,1.622616542,1615.74,0,"(-2.07,0.086]","[7.8,41.4]",2,1
05CGFC01,134,2.843667955,871.71,2,"(3.11,5.44]","(64.8,82.1]",4,4
05CGFC02,103,3.998839382,1119.7,2,"(3.11,5.44]","(64.8,82.1]",4,4
05CGFC03,187,3.207453801,998.8,2,"(3.11,5.44]","(64.8,82.1]",4,4
05CGFC04,702,3.930291914,1052.83,2,"(5.44,9.2]","(53.6,64.8]",5,3
05CGFC05,907,4.083830067,1124.43,8,"(3.11,5.44]","(53.6,64.8]",4,3
05CGFC06,29,3.785640342,1232.14,2,"(3.11,5.44]","(53.6,64.8]",4,3
05CGFC07,84,3.167515664,1076.79,2,"(0.086,3.11]","(53.6,64.8]",3,3
05CGFC08,355,2.366070114,928.11,2,"(3.11,5.44]","(53.6,64.8]",4,3
05CGFC09,565,1.67895862,679.28,0,"(3.11,5.44]","(64.8,82.1]",4,4
05CGFC10,182,1.460346436,964.17,1,"(-2.07,0.086]","(82.1,243]",2,5
05CGFC11,357,1.34186063,946.65,1,"(-2.07,0.086]","(82.1,243]",2,5
05CGFC12,359,1.611993358,1213.82,13,"(-2.07,0.086]","(82.1,243]",2,5
05CGFC13,186,5.142650327,1279.04,4,"(3.11,5.44]","(82.1,243]",4,5
05CGFC14,567,1.373415067,685.86,0,"(0.086,3.11]","(82.1,243]",3,5
05CGFC15,154,4.083615706,948.13,6,"(0.086,3.11]","(82.1,243]",3,5
05CGFC16,164,2.418094662,960.34,5,"(0.086,3.11]","(64.8,82.1]",3,4
05CGFC17,167,2.571820872,1068.96,3,"(-2.07,0.086]","(64.8,82.1]",2,4
05CGFC18,380,2.420617683,918.25,0,"(3.11,5.44]","(64.8,82.1]",4,4
05CGFC19,12,2.604536806,957.13,3,"(5.44,9.2]","(64.8,82.1]",5,4
05CGFC20,365,1.472068731,1193.54,2,"[-6.54,-2.07]","(82.1,243]",1,5
05CGFC21,156,0.251063919,540.22,1,"[-6.54,-2.07]","(82.1,243]",1,5
05CGFC22,714,2.640057677,695.57,1,"(3.11,5.44]","(64.8,82.1]",4,4
05CGFC23,889,1.076426881,519.86,0,"(5.44,9.2]","(64.8,82.1]",5,4
05CGFC24,691,0.627928716,705.69,1,"[-6.54,-2.07]","(82.1,243]",1,5
05CGFC25,546,1.888240238,861.59,0,"(3.11,5.44]","(82.1,243]",4,5
05CGFC26,188,0.26241007,565.19,1,"(-2.07,0.086]","(82.1,243]",2,5
05CGFC27,368,0.311300287,831.98,0,"(-2.07,0.086]","(82.1,243]",2,5
05CGFC29,717,0.658593337,600.38,0,"(-2.07,0.086]","(82.1,243]",2,5
05CGFC30,894,0.75599793,651.38,1,"(0.086,3.11]","(82.1,243]",3,5
05CGFC31,129,2.439421363,896.68,3,"(0.086,3.11]","(82.1,243]",3,5
05CGFC32,373,1.861836946,639.16,1,"(0.086,3.11]","(82.1,243]",3,5
05CGFD01,555,1.435942344,635.3,1,"(-2.07,0.086]","(64.8,82.1]",2,4
05CGFD02,893,3.73025411,921.37,5,"(-2.07,0.086]","(82.1,243]",2,5
05CGFD03,890,1.286642914,332.1,0,"(0.086,3.11]","(64.8,82.1]",3,4
05CGFD04,721,3.126682786,744.69,6,"(-2.07,0.086]","(64.8,82.1]",2,4
05CGFD05,556,2.575228914,598.39,0,"(0.086,3.11]","(82.1,243]",3,5
05CGFD06,1017,1.016690355,155.24,0,"(5.44,9.2]","(82.1,243]",5,5
05CGFD07,942,1.094155769,413.79,0,"(3.11,5.44]","(82.1,243]",4,5
05CGFD08,996,1.645749929,270.46,0,"(3.11,5.44]","(82.1,243]",4,5
05CGFD09,995,1.66620216,863.2,40,"(-2.07,0.086]","(64.8,82.1]",2,4
05CGFD10,994,0.315177148,193.49,0,"(0.086,3.11]","(82.1,243]",3,5
05CGFD11,993,4.767237825,870.61,28,"(0.086,3.11]","(64.8,82.1]",3,4
05CGFD12,582,2.437316666,627.85,3,"(3.11,5.44]","(82.1,243]",4,5
05CGFD13,991,5.290596952,1059.7,2,"(-2.07,0.086]","(82.1,243]",2,5
05CGFD14,990,2.34112002,1364.6,0,"[-6.54,-2.07]","[7.8,41.4]",1,1
05CGFD15,424,4.614977071,962.88,17,"(-2.07,0.086]","(41.4,53.6]",2,2
05CGFD16,602,3.018965495,1382.04,10,"[-6.54,-2.07]","(53.6,64.8]",1,3
05CGFD17,660,0.532297426,259.66,0,"(0.086,3.11]","(64.8,82.1]",3,4
05CGFD18,236,1.712947713,613.74,2,"[-6.54,-2.07]","(82.1,243]",1,5
05CGFD19,658,3.792343563,628.32,4,"(3.11,5.44]","(82.1,243]",4,5
05CGFD20,589,2.518559781,1130.15,1,"[-6.54,-2.07]","(41.4,53.6]",1,2
05CGFD21,657,4.373043705,1137.16,11,"(-2.07,0.086]","(53.6,64.8]",2,3
05CGFD22,665,5.115078321,1016.63,19,"(-2.07,0.086]","(53.6,64.8]",2,3
05CGFD23,987,2.204568734,791.19,1,"[-6.54,-2.07]","(53.6,64.8]",1,3
05CGFD24,258,3.079283564,880.26,1,"[-6.54,-2.07]","(64.8,82.1]",1,4
05CGFD25,588,1.495318046,576.05,0,"(0.086,3.11]","(64.8,82.1]",3,4
05CGFD26,587,3.278908633,934.86,3,"(0.086,3.11]","(82.1,243]",3,5
05CGFD27,972,1.538249833,553.48,2,"(-2.07,0.086]","(82.1,243]",2,5
05CGFD28,984,1.188637978,468.73,0,"(-2.07,0.086]","(82.1,243]",2,5
05CGFD29,678,6.588478778,1252.67,0,"[-6.54,-2.07]","(41.4,53.6]",1,2
05CGFD30,675,3.44127865,816.05,3,"(-2.07,0.086]","(53.6,64.8]",2,3
05CGFD31,586,2.131753057,793.87,3,"(-2.07,0.086]","(53.6,64.8]",2,3
05CGFD32,291,3.175745481,1431.7,2,"[-6.54,-2.07]","(41.4,53.6]",1,2
05CGFD33,653,3.016886385,735.56,2,"(0.086,3.11]","(82.1,243]",3,5
05CGFD47,591,0.458939803,221.02,2,"(-2.07,0.086]","(64.8,82.1]",2,4
05CGFE01,680,3.389089174,984.71,7,"(0.086,3.11]","(64.8,82.1]",3,4
05CGFE02,674,6.035722002,1143.89,7,"(3.11,5.44]","(64.8,82.1]",4,4
05CGFE03,981,1.833477709,703.81,4,"[-6.54,-2.07]","(64.8,82.1]",1,4
05CGFE04,682,6.217037168,1280.84,5,"(-2.07,0.086]","(82.1,243]",2,5
05CGFE05,683,5.317017023,885.31,1,"(5.44,9.2]","(82.1,243]",5,5
05CGFE06,265,0.993251831,647.44,0,"(3.11,5.44]","(82.1,243]",4,5
05CGFE07,248,1.660865097,964.13,25,"(0.086,3.11]","(82.1,243]",3,5
05CGFE08,604,2.32859662,739.4,13,"(3.11,5.44]","(82.1,243]",4,5
05CGFE09,977,7.471116566,1221.54,7,"(3.11,5.44]","(64.8,82.1]",4,4
05CGFE10,603,1.467347593,892.25,1,"(0.086,3.11]","(82.1,243]",3,5
05CGFE11,1005,3.650999841,1053.44,2,"(0.086,3.11]","(64.8,82.1]",3,4
05CGFE12,663,3.52837311,1043.39,29,"(0.086,3.11]","(82.1,243]",3,5
05CGFE13,79,0.855953274,533.7,0,"(3.11,5.44]","(82.1,243]",4,5
05CGFE14,271,3.578461451,790.87,1,"(3.11,5.44]","(82.1,243]",4,5
05CGFE15,592,4.179682048,816.78,4,"(5.44,9.2]","(82.1,243]",5,5
05CGFE16,232,1.105472287,671.74,3,"(0.086,3.11]","(82.1,243]",3,5
05CGFE17,708,3.096859745,841.48,1,"(0.086,3.11]","(82.1,243]",3,5
05CGFE18,600,3.894408023,829.97,31,"(0.086,3.11]","(82.1,243]",3,5
05CGFE19,710,1.653224312,1009.17,0,"(3.11,5.44]","(82.1,243]",4,5
05CGFE21,711,0.092814172,182.24,1,"(0.086,3.11]","(82.1,243]",3,5
05CGFE22,596,1.274155533,574.09,2,"(5.44,9.2]","(82.1,243]",5,5
05CGFE23,71,2.617910893,790.93,3,"(5.44,9.2]","(82.1,243]",5,5
05CGFE24,1011,1.219982068,637.49,2,"(5.44,9.2]","(82.1,243]",5,5
05CGFE25,574,1.330621705,706.42,2,"(5.44,9.2]","(82.1,243]",5,5
05CGFE26,549,0.798724943,413.35,0,"(5.44,9.2]","(82.1,243]",5,5
05CGFE27,6,4.096475663,1548.52,7,"(5.44,9.2]","(82.1,243]",5,5
05CGFE28,270,1.039188518,438.07,0,"(5.44,9.2]","(82.1,243]",5,5
05CGFE29,69,1.146202649,644.35,5,"(5.44,9.2]","(82.1,243]",5,5
05CGFE30,729,1.452592308,742.31,1,"(5.44,9.2]","(82.1,243]",5,5
05CGFE31,718,4.956567416,918.03,9,"(5.44,9.2]","(82.1,243]",5,5
05CGFE32,707,1.69451986,589.96,0,"(5.44,9.2]","(82.1,243]",5,5
05CGFE33,720,1.770641606,486.33,2,"(5.44,9.2]","(82.1,243]",5,5
05CGFE34,266,2.693521436,755.25,1,"(5.44,9.2]","(82.1,243]",5,5
05CGFF03,279,1.867000726,733.95,2,"(5.44,9.2]","(82.1,243]",5,5
05CGFF04,724,1.966745786,745.74,2,"(5.44,9.2]","(82.1,243]",5,5
05CGFF06,725,0.202664247,134.72,0,"(-2.07,0.086]","(82.1,243]",2,5
05CGFF07,16,3.401774401,1273.42,9,"(5.44,9.2]","(82.1,243]",5,5
05CGFF08,726,1.058613357,546.86,2,"(5.44,9.2]","(82.1,243]",5,5
05CGFF09,267,1.708500386,809.55,2,"(5.44,9.2]","(82.1,243]",5,5
05CGFF10,1021,2.531372893,845.07,1,"(5.44,9.2]","(82.1,243]",5,5
05CGFF11,1019,2.084368459,751.16,0,"(5.44,9.2]","(82.1,243]",5,5
05CGFF12,128,1.346369858,630.85,1,"(5.44,9.2]","(82.1,243]",5,5
05CGFF13,105,2.22367879,691.79,3,"(5.44,9.2]","(82.1,243]",5,5
05CGFF14,177,1.894899799,856.28,4,"(5.44,9.2]","(82.1,243]",5,5
05CGFF15,1,1.574514309,600.3,3,"(5.44,9.2]","(82.1,243]",5,5
05CGFF16,690,2.059079946,731.16,1,"(3.11,5.44]","(82.1,243]",4,5
05CGFF17,275,1.630619659,757,1,"(0.086,3.11]","(64.8,82.1]",3,4
05CGFF18,269,1.340687333,857.61,2,"(5.44,9.2]","(64.8,82.1]",5,4
05CGFF19,706,1.495778309,829.46,0,"(5.44,9.2]","(64.8,82.1]",5,4
05CGFF20,181,1.239906826,770.18,3,"(5.44,9.2]","(64.8,82.1]",5,4
05CGFF21,563,1.63928021,537.12,1,"(5.44,9.2]","(82.1,243]",5,5
05CGFF23,320,1.346951766,555.15,2,"(3.11,5.44]","(82.1,243]",4,5
05CGFF24,32,1.440067925,916.54,4,"(0.086,3.11]","(64.8,82.1]",3,4
05CGFF25,25,1.294876972,641.17,2,"(-2.07,0.086]","(64.8,82.1]",2,4
05CGFF26,345,3.975837703,1239.08,3,"(5.44,9.2]","(53.6,64.8]",5,3
05CGFF27,24,2.308613559,943.23,1,"(3.11,5.44]","(53.6,64.8]",4,3
05CGFF28,98,2.41131627,903,1,"(5.44,9.2]","(53.6,64.8]",5,3
05CGFF29,148,1.611028314,1013.2,2,"(3.11,5.44]","(53.6,64.8]",4,3
05CGFF30,689,3.544177162,902.57,2,"(0.086,3.11]","(82.1,243]",3,5
05CGFF31,612,1.086347004,609.47,0,"(-2.07,0.086]","(64.8,82.1]",2,4
05CGFF32,621,3.027886114,1089.86,3,"(-2.07,0.086]","(64.8,82.1]",2,4
05CGFF33,145,1.697163065,934.76,2,"(0.086,3.11]","(64.8,82.1]",3,4
05CGFF34,314,4.172849407,863.61,2,"(3.11,5.44]","(64.8,82.1]",4,4
05CGFG02,100,1.138622931,578.89,0,"[-6.54,-2.07]","[7.8,41.4]",1,1
05CGFG03,633,0.776222036,339.74,2,"[-6.54,-2.07]","[7.8,41.4]",1,1
05CGFG04,940,1.454332824,1257.48,2,"(-2.07,0.086]","[7.8,41.4]",2,1
05CGFG05,939,2.503342813,1214.09,4,"(-2.07,0.086]","[7.8,41.4]",2,1
05CGFG06,93,3.51653117,1175.54,3,"(3.11,5.44]","[7.8,41.4]",4,1
05CGFG07,293,3.201105738,1149.68,1,"(0.086,3.11]","[7.8,41.4]",3,1
05CGFG08,104,2.242303681,1105,3,"(-2.07,0.086]","[7.8,41.4]",2,1
05CGFG09,681,4.568757537,971.29,3,"(3.11,5.44]","[7.8,41.4]",4,1
05CGFG10,937,3.764029576,982.48,1,"(5.44,9.2]","[7.8,41.4]",5,1
05CGFG11,679,2.174380326,1145.57,5,"(0.086,3.11]","[7.8,41.4]",3,1
05CGFG12,281,7.571796572,1497.35,7,"(0.086,3.11]","[7.8,41.4]",3,1
05CGFG13,936,4.154669556,1308.16,0,"(3.11,5.44]","[7.8,41.4]",4,1
05CGFG14,46,0.791158901,646.17,1,"[-6.54,-2.07]","(41.4,53.6]",1,2
05CGFG15,551,2.359942002,833.4,16,"(-2.07,0.086]","(64.8,82.1]",2,4
05CGFG16,1026,2.048942989,1054.31,1,"(0.086,3.11]","[7.8,41.4]",3,1
05CGFG17,934,5.233054237,1146.44,4,"(5.44,9.2]","[7.8,41.4]",5,1
05CGFG18,284,1.657194082,805.86,3,"(-2.07,0.086]","[7.8,41.4]",2,1
05CGFG19,249,2.350522001,1199.82,3,"(5.44,9.2]","[7.8,41.4]",5,1
05CGFG20,667,4.200024338,1038.05,3,"(0.086,3.11]","[7.8,41.4]",3,1
05CGFG21,684,2.164434145,1152.77,3,"[-6.54,-2.07]","[7.8,41.4]",1,1
05CGFG22,666,0.94813325,620.96,2,"[-6.54,-2.07]","[7.8,41.4]",1,1
05CGFG23,474,1.128551673,641.13,1,"[-6.54,-2.07]","[7.8,41.4]",1,1
05CGFG24,478,1.335624156,650.04,5,"[-6.54,-2.07]","[7.8,41.4]",1,1
05CGFG25,467,3.009719911,1009.11,3,"[-6.54,-2.07]","(41.4,53.6]",1,2
05CGFG26,715,3.388018974,741.71,1,"(0.086,3.11]","(53.6,64.8]",3,3
05CGFG27,722,0.948662856,675.63,2,"[-6.54,-2.07]","(53.6,64.8]",1,3
05CGFG28,727,0.747054826,725.17,1,"[-6.54,-2.07]","[7.8,41.4]",1,1
05CGFG29,931,1.568471917,801.36,1,"[-6.54,-2.07]","[7.8,41.4]",1,1
05CGFG30,304,5.139878643,1468.09,5,"(-2.07,0.086]","(41.4,53.6]",2,2
05CGFG31,692,1.874806492,1181.86,0,"[-6.54,-2.07]","[7.8,41.4]",1,1
05CGFG32,301,3.028100528,1273.26,2,"[-6.54,-2.07]","[7.8,41.4]",1,1
05CGFG33,929,3.418549385,1145.33,3,"(-2.07,0.086]","[7.8,41.4]",2,1
05CGFG34,928,4.448023035,1509.32,4,"(0.086,3.11]","[7.8,41.4]",3,1
05CGFG35,300,6.531439157,1618.4,24,"(0.086,3.11]","[7.8,41.4]",3,1
05CGFG36,306,2.539203188,858.24,3,"(-2.07,0.086]","[7.8,41.4]",2,1
05CGFG37,1030,1.247481981,825.93,0,"[-6.54,-2.07]","(41.4,53.6]",1,2
05CGFG38,701,2.240641834,1622.59,2,"[-6.54,-2.07]","(53.6,64.8]",1,3
05CGFG39,705,1.244416875,917.55,1,"(-2.07,0.086]","[7.8,41.4]",2,1
05CGFG40,522,1.656169778,1106.06,3,"[-6.54,-2.07]","(41.4,53.6]",1,2
05CGFG41,704,0.935353938,569.73,2,"[-6.54,-2.07]","[7.8,41.4]",1,1
05CGFG42,512,3.436931598,1458.55,4,"[-6.54,-2.07]","(41.4,53.6]",1,2
05CGFH01,924,0.763293474,212.88,2,"(5.44,9.2]","(82.1,243]",5,5
05CGFH02,923,0.241522356,234.44,0,"(5.44,9.2]","(82.1,243]",5,5
05CGFH03,539,3.652863609,1078.78,2,"(5.44,9.2]","(82.1,243]",5,5
05CGFH04,297,2.31576789,713.12,1,"(3.11,5.44]","(82.1,243]",4,5
05CGFH05,922,1.943390399,704.38,2,"(3.11,5.44]","(82.1,243]",4,5
05CGFH06,698,1.9457805,851.19,2,"(0.086,3.11]","(82.1,243]",3,5
05CGFH07,921,1.393511917,857.77,4,"(3.11,5.44]","(82.1,243]",4,5
05CGFH08,238,2.438841345,1169.74,2,"(0.086,3.11]","(82.1,243]",3,5
05CGFH09,529,1.771043128,1051.79,2,"(0.086,3.11]","(82.1,243]",3,5
05CGFH10,294,1.882906401,853.07,1,"(5.44,9.2]","(82.1,243]",5,5
05CGFH11,130,3.333469923,1274.93,2,"(5.44,9.2]","(82.1,243]",5,5
05CGFH12,334,8.867070392,2072.51,8,"(3.11,5.44]","(82.1,243]",4,5
05CGFH13,150,4.996318992,1283.58,6,"(5.44,9.2]","(82.1,243]",5,5
05CGFH14,493,2.22520864,978.45,0,"(5.44,9.2]","(64.8,82.1]",5,4
05CGFH15,494,5.381922964,1247.18,10,"(5.44,9.2]","(82.1,243]",5,5
05CGFH16,333,3.565033888,1261.17,7,"(5.44,9.2]","(82.1,243]",5,5
05CGFH17,343,3.123053013,1185.92,2,"(0.086,3.11]","(82.1,243]",3,5
05CGFH18,686,2.912881342,1063.64,1,"(3.11,5.44]","(82.1,243]",4,5
05CGFH19,344,1.833590961,713.73,2,"(3.11,5.44]","(82.1,243]",4,5
05CGFH20,968,2.976674534,1204.66,2,"(3.11,5.44]","(82.1,243]",4,5
05CGFH21,502,3.410216028,917.32,3,"(0.086,3.11]","(64.8,82.1]",3,4
05CGFH22,719,3.346384649,969.66,2,"(0.086,3.11]","(82.1,243]",3,5
05CGFH23,137,2.516175063,773.02,1,"(-2.07,0.086]","(82.1,243]",2,5
05CGFH24,139,2.567392936,1110.2,0,"(-2.07,0.086]","(64.8,82.1]",2,4
05CGFH25,113,2.924495148,957.4,1,"[-6.54,-2.07]","(64.8,82.1]",1,4
05CGFH26,316,2.195195193,899.36,3,"(-2.07,0.086]","(82.1,243]",2,5
05CGFH27,709,3.893412783,984.21,3,"(-2.07,0.086]","(82.1,243]",2,5
05CGFH28,184,2.001958807,1090.5,0,"(-2.07,0.086]","(82.1,243]",2,5
05CGFH29,542,0.881176391,1288.3,0,"[-6.54,-2.07]","(64.8,82.1]",1,4
05CGFH30,118,8.247014082,1257.82,5,"(0.086,3.11]","(64.8,82.1]",3,4
05CGFH31,964,6.276544603,1244.15,5,"(5.44,9.2]","(82.1,243]",5,5
05CGFH32,538,3.257510059,1053.66,5,"(-2.07,0.086]","(64.8,82.1]",2,4
05CGFH33,659,2.466171088,987.69,2,"(-2.07,0.086]","(64.8,82.1]",2,4
05CGFH34,262,4.259880341,1049.93,5,"(0.086,3.11]","(64.8,82.1]",3,4
05CGFH35,662,3.185921722,1059.31,2,"(-2.07,0.086]","(64.8,82.1]",2,4
05CGFH36,664,5.025860552,1088.05,1,"(0.086,3.11]","(64.8,82.1]",3,4
05CGFH37,276,2.666674625,1198.5,4,"(-2.07,0.086]","(64.8,82.1]",2,4
05CGFJ02,961,6.86720381,1434.39,12,"[-6.54,-2.07]","[7.8,41.4]",1,1
05CGFJ03,120,4.393511787,1242.63,3,"[-6.54,-2.07]","[7.8,41.4]",1,1
05CGFJ04,518,3.192931231,1294.53,2,"[-6.54,-2.07]","[7.8,41.4]",1,1
05CGFJ05,677,5.091313155,1284.13,6,"(-2.07,0.086]","[7.8,41.4]",2,1
05CGFJ06,673,2.600143962,1150.12,2,"[-6.54,-2.07]","[7.8,41.4]",1,1
05CGFJ07,436,5.305971869,1130.54,10,"[-6.54,-2.07]","[7.8,41.4]",1,1
05CGFJ08,669,4.21181003,1408.89,6,"[-6.54,-2.07]","[7.8,41.4]",1,1
05CGFJ09,668,3.397753063,1393.93,3,"[-6.54,-2.07]","[7.8,41.4]",1,1
05CGFJ10,955,4.582492551,1245.23,3,"[-6.54,-2.07]","(53.6,64.8]",1,3
05CGFJ11,954,3.853423894,1307.48,5,"[-6.54,-2.07]","(53.6,64.8]",1,3
05CGFJ12,953,2.1754062,1053.24,1,"[-6.54,-2.07]","(41.4,53.6]",1,2
05CGFJ13,277,3.429524416,1256.27,4,"(0.086,3.11]","(41.4,53.6]",3,2
05CGFJ15,952,3.969068137,1546.02,1,"(0.086,3.11]","[7.8,41.4]",3,1
05CGFJ16,951,4.290559435,1417.3,6,"[-6.54,-2.07]","(41.4,53.6]",1,2
05CGFJ17,224,0.768656032,820.24,0,"[-6.54,-2.07]","[7.8,41.4]",1,1
05CGFJ18,949,2.13000071,979.23,0,"[-6.54,-2.07]","[7.8,41.4]",1,1
05CGFJ19,671,1.65595011,872.39,3,"[-6.54,-2.07]","[7.8,41.4]",1,1
05CGFJ20,947,3.338401082,1118.83,5,"[-6.54,-2.07]","[7.8,41.4]",1,1
